timestamp,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,backbone,model,seed,notes,hidden,p_drop,num_layers,mod_drop,freq_mask_ratio,time_mask_ratio,proj_dim,use_gate,audio_dim,fuse_dim,channel_wise_gate,lr,weight_decay,label_smoothing,fuse_mode,variant,pool_type,top_k,margin,proj_dim_effective,ablation_phase
2025-10-22 02:38:40,0.5,0.0895,0.5037,0.0947,0.4826,0.0791,0.5599,0.0764,0.5,0.0895,0.4608,0.055,0.463,0.0495,0.4516,0.0505,0.5522,0.0874,0.4608,0.055,0.4965,0.0683,0.4978,0.0703,0.4755,0.0649,0.5547,0.0488,0.4965,0.0683,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,1,0.05,0.0,0.0,,False,640,256,False,0.0007,0.001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:40:29,0.5,0.0895,0.5037,0.0947,0.4826,0.0791,0.5599,0.0764,0.5,0.0895,0.4608,0.055,0.463,0.0495,0.4516,0.0505,0.5522,0.0874,0.4608,0.055,0.4965,0.0683,0.4978,0.0703,0.4755,0.0649,0.5547,0.0488,0.4965,0.0683,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,1,0.05,0.0,0.03,,False,640,256,False,0.0007,0.001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:42:17,0.5,0.0895,0.5037,0.0947,0.4826,0.0791,0.5599,0.0764,0.5,0.0895,0.4608,0.055,0.463,0.0495,0.4516,0.0505,0.5522,0.0874,0.4608,0.055,0.4965,0.0683,0.4978,0.0703,0.4755,0.0649,0.5547,0.0488,0.4965,0.0683,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,1,0.05,0.03,0.0,,False,640,256,False,0.0007,0.001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:45:24,0.5048,0.1041,0.5066,0.108,0.4923,0.1049,0.5417,0.1025,0.5048,0.1041,0.4828,0.0762,0.4877,0.0749,0.4681,0.0869,0.5304,0.0869,0.4828,0.0762,0.5048,0.0445,0.5067,0.0477,0.4938,0.0383,0.5601,0.0511,0.5048,0.0445,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,2,0.1,0.0,0.0,,True,640,192,False,0.0007,0.001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:48:32,0.5048,0.1041,0.5066,0.108,0.4923,0.1049,0.5417,0.1025,0.5048,0.1041,0.4828,0.0762,0.4877,0.0749,0.4681,0.0869,0.5304,0.0869,0.4828,0.0762,0.5048,0.0445,0.5067,0.0477,0.4938,0.0383,0.5601,0.0511,0.5048,0.0445,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,2,0.1,0.0,0.03,,True,640,192,False,0.0007,0.001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:51:40,0.5048,0.1041,0.5066,0.108,0.4923,0.1049,0.5417,0.1025,0.5048,0.1041,0.4828,0.0762,0.4877,0.0749,0.4681,0.0869,0.5304,0.0869,0.4828,0.0762,0.5048,0.0445,0.5067,0.0477,0.4938,0.0383,0.5601,0.0511,0.5048,0.0445,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,2,0.1,0.03,0.0,,True,640,192,False,0.0007,0.001,0.01,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:53:23,0.4888,0.0839,0.4858,0.0814,0.4744,0.0803,0.5435,0.0769,0.4888,0.0839,0.4612,0.0692,0.4639,0.0646,0.4409,0.0674,0.5065,0.0833,0.4612,0.0692,0.4883,0.0406,0.4823,0.0527,0.4693,0.0481,0.5413,0.0633,0.4883,0.0406,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,1,0.05,0.0,0.0,,False,640,256,False,0.0007,0.001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:55:05,0.4888,0.0839,0.4858,0.0814,0.4744,0.0803,0.5435,0.0769,0.4888,0.0839,0.4612,0.0692,0.4639,0.0646,0.4409,0.0674,0.5065,0.0833,0.4612,0.0692,0.4883,0.0406,0.4823,0.0527,0.4693,0.0481,0.5413,0.0633,0.4883,0.0406,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,1,0.05,0.0,0.03,,False,640,256,False,0.0007,0.001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:56:47,0.4888,0.0839,0.4858,0.0814,0.4744,0.0803,0.5435,0.0769,0.4888,0.0839,0.4612,0.0692,0.4639,0.0646,0.4409,0.0674,0.5065,0.0833,0.4612,0.0692,0.4883,0.0406,0.4823,0.0527,0.4693,0.0481,0.5413,0.0633,0.4883,0.0406,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,1,0.05,0.03,0.0,,False,640,256,False,0.0007,0.001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-22 02:59:34,0.5057,0.1048,0.5059,0.107,0.4918,0.1042,0.5433,0.101,0.5057,0.1048,0.4782,0.0705,0.4833,0.0685,0.465,0.0834,0.5322,0.0876,0.4782,0.0705,0.4975,0.0405,0.5042,0.0503,0.4916,0.0343,0.5518,0.0451,0.4975,0.0405,mobilevit_s.cvnets_in1k,gru,42,features=mobilevit_s.cvnets_in1k,256,0.1,2,0.1,0.0,0.0,,True,640,192,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
