timestamp,val_agg_acc_mean,val_agg_acc_std,val_agg_uar_mean,val_agg_uar_std,val_agg_f1_macro_mean,val_agg_f1_macro_std,val_agg_prec_w_mean,val_agg_prec_w_std,val_agg_recall_w_mean,val_agg_recall_w_std,test_agg_acc_mean,test_agg_acc_std,test_agg_uar_mean,test_agg_uar_std,test_agg_f1_macro_mean,test_agg_f1_macro_std,test_agg_prec_w_mean,test_agg_prec_w_std,test_agg_recall_w_mean,test_agg_recall_w_std,retrain_test_agg_acc_mean,retrain_test_agg_acc_std,retrain_test_agg_uar_mean,retrain_test_agg_uar_std,retrain_test_agg_f1_macro_mean,retrain_test_agg_f1_macro_std,retrain_test_agg_prec_w_mean,retrain_test_agg_prec_w_std,retrain_test_agg_recall_w_mean,retrain_test_agg_recall_w_std,backbone,model,seed,notes,hidden,p_drop,num_layers,mod_drop,freq_mask_ratio,time_mask_ratio,proj_dim,use_gate,audio_dim,fuse_dim,channel_wise_gate,lr,weight_decay,label_smoothing,fuse_mode,variant,pool_type,top_k,margin,proj_dim_effective,ablation_phase
2025-10-18 13:13:54,0.4605,0.049,0.4605,0.0454,0.4527,0.0483,0.5478,0.04,0.4605,0.049,0.4412,0.0501,0.4437,0.0579,0.4286,0.0469,0.5204,0.0603,0.4412,0.0501,0.4718,0.0691,0.4711,0.0732,0.4591,0.0681,0.5512,0.0683,0.4718,0.0691,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.0,0.0,,False,1280,256,False,0.001,0.0001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:16:23,0.4605,0.049,0.4605,0.0454,0.4527,0.0483,0.5478,0.04,0.4605,0.049,0.4412,0.0501,0.4437,0.0579,0.4286,0.0469,0.5204,0.0603,0.4412,0.0501,0.4718,0.0691,0.4711,0.0732,0.4591,0.0681,0.5512,0.0683,0.4718,0.0691,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.0,0.03,,False,1280,256,False,0.001,0.0001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:18:53,0.4605,0.049,0.4605,0.0454,0.4527,0.0483,0.5478,0.04,0.4605,0.049,0.4412,0.0501,0.4437,0.0579,0.4286,0.0469,0.5204,0.0603,0.4412,0.0501,0.4718,0.0691,0.4711,0.0732,0.4591,0.0681,0.5512,0.0683,0.4718,0.0691,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.03,0.0,,False,1280,256,False,0.001,0.0001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:21:21,0.4605,0.049,0.4605,0.0454,0.4527,0.0483,0.5478,0.04,0.4605,0.049,0.4412,0.0501,0.4437,0.0579,0.4286,0.0469,0.5204,0.0603,0.4412,0.0501,0.4718,0.0691,0.4711,0.0732,0.4591,0.0681,0.5512,0.0683,0.4718,0.0691,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.0,0.05,,False,1280,256,False,0.001,0.0001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:23:52,0.4605,0.049,0.4605,0.0454,0.4527,0.0483,0.5478,0.04,0.4605,0.049,0.4412,0.0501,0.4437,0.0579,0.4286,0.0469,0.5204,0.0603,0.4412,0.0501,0.4718,0.0691,0.4711,0.0732,0.4591,0.0681,0.5512,0.0683,0.4718,0.0691,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.05,0.0,,False,1280,256,False,0.001,0.0001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:26:21,0.4605,0.049,0.4605,0.0454,0.4527,0.0483,0.5478,0.04,0.4605,0.049,0.4412,0.0501,0.4437,0.0579,0.4286,0.0469,0.5204,0.0603,0.4412,0.0501,0.4718,0.0691,0.4711,0.0732,0.4591,0.0681,0.5512,0.0683,0.4718,0.0691,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.03,0.03,,False,1280,256,False,0.001,0.0001,0.02,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:28:35,0.464,0.055,0.4623,0.0494,0.4532,0.0628,0.5194,0.0535,0.464,0.055,0.4395,0.0685,0.4428,0.0643,0.4208,0.0704,0.5335,0.1105,0.4395,0.0685,0.4717,0.0787,0.4656,0.0751,0.4609,0.077,0.5422,0.0516,0.4717,0.0787,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.0,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:30:49,0.464,0.055,0.4623,0.0494,0.4532,0.0628,0.5194,0.0535,0.464,0.055,0.4395,0.0685,0.4428,0.0643,0.4208,0.0704,0.5335,0.1105,0.4395,0.0685,0.4717,0.0787,0.4656,0.0751,0.4609,0.077,0.5422,0.0516,0.4717,0.0787,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.0,0.03,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:33:03,0.464,0.055,0.4623,0.0494,0.4532,0.0628,0.5194,0.0535,0.464,0.055,0.4395,0.0685,0.4428,0.0643,0.4208,0.0704,0.5335,0.1105,0.4395,0.0685,0.4717,0.0787,0.4656,0.0751,0.4609,0.077,0.5422,0.0516,0.4717,0.0787,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.03,0.0,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
2025-10-18 13:35:16,0.464,0.055,0.4623,0.0494,0.4532,0.0628,0.5194,0.0535,0.464,0.055,0.4395,0.0685,0.4428,0.0643,0.4208,0.0704,0.5335,0.1105,0.4395,0.0685,0.4717,0.0787,0.4656,0.0751,0.4609,0.077,0.5422,0.0516,0.4717,0.0787,mobilenetv4_conv_small_050.e3000_r224_in1k,gru,42,features=mobilenetv4_conv_small_050.e3000_r224_in1k,384,0.2,1,0.0,0.0,0.05,,False,1280,256,False,0.0007,0.001,0.015,concat,fused_concat,attn,5,0.0,none,4
